Name,Miles per Gallon,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,Brand
Chevrolet Chevelle Malibu (1970),18,8,307,130,3504,12,1970,USA,Chevrolet
Buick Skylark 320,15,8,350,165,3693,11.5,1970,USA,Buick
Plymouth Satellite,18,8,318,150,3436,11,1970,USA,Plymouth
Amc Rebel Sst,16,8,304,150,3433,12,1970,USA,Amc
Ford Torino,17,8,302,140,3449,10.5,1970,USA,Ford
Ford Galaxie 500 (1970),15,8,429,198,4341,10,1970,USA,Ford
Chevrolet Impala (1970),14,8,454,220,4354,9,1970,USA,Chevrolet
Plymouth Fury Iii (1970),14,8,440,215,4312,8.5,1970,USA,Plymouth
Pontiac Catalina (1970),14,8,455,225,4425,10,1970,USA,Pontiac
Amc Ambassador Dpl,15,8,390,190,3850,8.5,1970,USA,Amc
Citroen Ds-21 Pallas,,4,133,115,3090,17.5,1970,Europe,Citroen
Chevrolet Chevelle Concours (Sw) (1970),,8,350,165,4142,11.5,1970,USA,Chevrolet
Ford Torino (Sw),,8,351,153,4034,11,1970,USA,Ford
Plymouth Satellite (Sw),,8,383,175,4166,10.5,1970,USA,Plymouth
Amc Rebel Sst (Sw),,8,360,175,3850,11,1970,USA,Amc
Dodge Challenger Se,15,8,383,170,3563,10,1970,USA,Dodge
Plymouth 'Cuda 340,14,8,340,160,3609,8,1970,USA,Plymouth
Ford Mustang Boss 302,,8,302,140,3353,8,1970,USA,Ford
Chevrolet Monte Carlo,15,8,400,150,3761,9.5,1970,USA,Chevrolet
Buick Estate Wagon (Sw) (1970),14,8,455,225,3086,10,1970,USA,Buick
Toyota Corona Mark Ii,24,4,113,95,2372,15,1970,Japan,Toyota
Plymouth Duster (1970),22,6,198,95,2833,15.5,1970,USA,Plymouth
Amc Hornet (1970),18,6,199,97,2774,15.5,1970,USA,Amc
Ford Maverick (1970),21,6,200,85,2587,16,1970,USA,Ford
Datsun Pl510 (1970),27,4,97,88,2130,14.5,1970,Japan,Datsun
Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,20.5,1970,Europe,Volkswagen
