label,sentence
Q1,What is the difference between the average cost for colleges in the New England region and colleges in the Southeast Region?
Q1,Compare the average cost of New England colleges and Southeast colleges
Q1,"With regards to Average Cost, how are New England colleges and the Southeast colleges similar or different?"
Q1,"Among US colleges, how do schools in New England compare with schools in the Southeast on average cost?"
Q1,How does the average cost of colleges in New England compare with the Southeast region?
Q1,What is the average cost of attending college in New England compared to the Southeast?
Q1,Compare colleges in New England and colleges in the Southeast for average cost.
Q1,Compare the average cost of the colleges in the region of New England against the colleges of the region of the Southeast.
Q1,Compare the average cost between colleges from New England and colleges from the southeast
Q1,What is the average cost of colleges in New England compared with colleges in the Southeast?
Q1,How does the average cost of colleges in New England compare with the average cost of colleges in the Southeast?
Q1,Comparing the average cost of universities in New England and universities in the Southeast.
Q1,Compare average costs in New England to average costs in the Southeast.
Q1,Average cost of Universities In the New England and Southeast region
Q1,What is the average cost in Southeastern coleges and New England colleges?
Q1,"What are the Average Cost similarities and differences between colleges in the Region of New England, and colleges in the Region of Southwest?"
Q1,What is the average cost of colleges in the New England area compared to the Southeast US?
Q1,What is the average cost to live in New England compared to the South east.
Q1,What are the similarities/differences between colleges in the New England and Southeast regions based on average cost?
Q1,Compare the average cost of school in New England to those in the Southeast.
Q1,Compare New England and the Southeast colleges in average cost.
Q1,Group 1 consists of US colleges in New England. Group 2 consists of US colleges in the Southeast region. The average cost of colleges within the two groups is being compared.
Q1,How does the average cost of attendance compare between colleges in New England and in the Southeast?
Q1,Compare universities in the Southeast region and New England in terms of average cost of attendance.
Q1,How does the average cost vary between colleges in New England and those in the Southeast?
Q1,How does the average cost of colleges in New England compare to the average cost of colleges in the Southeast?
Q1,Do New England schools and Southeast schools have the same average costs?
Q1,You have a college in New England and another one in Southeast. Compare them in relation to the average cost
Q1,How does the average cost of college compare between those in New England and those in the Southeast?
Q1,How do colleges based in New England comapre with colleges based in the Southeast on the basis of their average costs?
Q2,"What is the difference between the the average faculty salary of private schools with  average family incomes less than $35,000 yearly and a public school with average family incomes greater than or equal to $90,000 per year?"
Q2,compare the average Faculty Salary of a private college with average family income of less than or equal to 35000 and of a public college with average family income of greater than or equal to 90000
Q2,"Do Private school faculties with average family incomes of $35,000 or less have higher salaries than public school faculties with average family incomes of $90000 or more?"
Q2,"Among US colleges, how do private schools (where average family income is no greater than $35,000) compare on average faculty salary with public schools (where average family income is $90,000 or more)?"
Q2,"Which colleges have a higher average faculty salary: private colleges whose students' family income is less than $35000, or public colleges where the average family income of students is $90000 or more?"
Q2,"What is the average Faculty Salary for Private colleges with an average family income no more than $35,000 compared to Public colleges with an average family income of at least $90,000?"
Q2,Compare average faculty salary of private college with an average family income of less than thirty five thousand dollars and public university with the average family income greater than ninety thousand dollars.
Q2,Compare the average faculty salary of the colleges where the control is private and the average family income is less than or equal to 35000 against the colleges where the control is public and the average family income is greater than or equal to 90000.
Q2,Compare the average faculty salary between private colleges that have an average student family income of less than or equal to 35000 and public colleges that have an average student family income of greater then or equal to 90000
Q2,"What is the average faculty salary at private colleges with an average family income of at least $35,000 compared with public colleges with an average family income of at least $90,000?"
Q2,Compare the average faculty salary in private schools where the students have a family income of $35000 on average with the average faculty salary in public schools where students have a family income of $90000 on average.
Q2,Comparing the average faculty salary of private universities with an average family income less than or equal to 35000 and public universities where the average family income is greater than or equal to 90000.
Q2,"Compare average faculty salary between private colleges with an average family income less than or equal to 35000, and public colleges with an average family income greater than or equal to 90000."
Q2,"Average faculty Salary of Private Universities with average family income of less than or equal to 35000, and public universities with an Average family income of 90000 or greater."
Q2,What is the average faculty salary between private schools in low income areas vs public schools in high income areas?
Q2,What are the Average Faculty Salary similarities and differences between colleges where Control is Private and the Average Family Income is less than or equal to 35000; and colleges where Control is Public and the Average Family Income is greater than or equal to 90000?
Q2,"What is the average faculty salary of Private colleges with an average family income less than or equal to $35,000 compared to Public colleges with an average family income greater than or equal to $90,000?"
