label,sentence
Q1,Is the completion rate of colleges in remote rural areas different than colleges in distant rural areas?
Q1,Group 1 consists of US colleges in remote rural locations. Group 2 consists of US colleges in distant rural locations. The completion rate of colleges within the two groups are being compared.
Q1,Compare the university completion rate between universities in remote rural and distant rural locales
Q1,Completion rate of universities that are remote rural and Distant rural
Q1,How do colleges located in remote rural areas compare with colleges located in distant rural areas on the basis of their completion rates?
Q1,How does the completion rate at remote rural colleges in the US compare to that of distant rural colleges in the same country?
Q1,Comparing completion rates of remote rural and distant rural colleges.
Q1,Compare completion rates of colleges with remote rural and distant rural locales.
Q1,How does the completion rate vary between remote rural and distant rural colleges?
Q1,Compare remote rural colleges and distant rural colleges location in terms of completion rate.
Q1,How do colleges located in remote rural areas compare to colleges located in distant rural areas regarding completion rate?
Q1,"Here you have the group from a remote rural and the one from a distant rural, compare the completition rate"
Q1,What is the completion rate for students from remote rural areas compared to distant rural areas?
Q1,"Among US colleges, how do remote rural schools compare with distant rural schools on completion rate?"
Q1,What is the difference of completion rate between Remote Rural and Distant Rural areas.
Q1,Compare the Completion Rates of colleges in Remote Rural locales with colleges in Distant Rural locales.
Q1,What are the completion rates of US colleges located in remote rural areas versus distant rural areas?
Q1,Compare the completion rate between remote rural and distant rural schools.
Q1,Compare the Completion Rate between Remote Rural and Distant Rural colleges.
Q1,"What is different about the completion rate between remote rural colleges and distant rural colleges, and what is similar?"
Q1,Comparison of completion rate between colleges with remote rural and distant rural locale.
Q1,Compare the Completion Rate between students from Remote Rural areas and Distant Rural areas.
Q1,Compare the completion rates between colleges in remote and distant rural locations
Q1,Compare the completion rate of the colleges where the locale is remote rural against the colleges where the locale is distant rural.
Q1,What are the completion rates of Remote Rural Locations and Distant Rural Locations?
Q1,How does the completion rate of colleges in a remote rural area compare to colleges in a distant rural area?
Q1,I want to compare the completion rate between colleges in remote rural locations and distant rural locations.
Q1,Compare the completion rate of colleges in a remote rural locale and a distant rural locale.
Q1,What is the difference of the completion rates of remote rural and distant rural schools?
Q1,Locale is in a rural location and is fairly far from places with a completion rate.
Q2,Is the expenditure per student of a great lakes college with an average age of entry over 23 different than that of a college with an average age of entry over 23 in the far west?
Q2,Group 1 consists of US colleges in the Great Lakes region where the average age of entry is is greater than or equal to 23. Group 2 consists of US colleges in the Far West region where the average age of entry is greater than or equal to 23. The expenditure per student of the two groups is being compared.
Q2,Compare the expenditure per student between Great Lakes universities with an average age of entry greater than or equal to 23 and Far West universities with an average age of entry greater than or equal to 23 years
Q2,"Expenditure per student ages 23 or over in Great Lakes region, and students ages 23 or over in Far West region"
Q2,How do colleges from the great lakes whose entrants on average are 23 or older compare with colleges from the far west whose entrants on average are 23 or older on the basis of expenditure per student?
Q2,"For colleges with an average entry age of at least 23, how does the expenditure per student at colleges in the Great Lakes region compare to that of colleges in the Far West region?"
Q2,Comparing Expenditure per student of students in the Great Lakes region over 23 years of age to students in the Far West region over 23 years old.
Q2,Compare expenditure per student between great lakes region with an average age of entry equal or greater than 23 against the far west region with an average age of entry greater than or equal to 23.
Q2,How does expenditure per student compare between colleges in the Great Lakes where the average age of entry is at least 23 and colleges in the Far West where the average age of entry is at least 23?
Q2,Does a college in the great lakes with an average entry age of greater than 23 and a college in the far west with an average entry age greater than 23 have a similar expenditure per student?
Q2,"For colleges with an average Age of entry higher or equal to 23, how do those located in the Great Lakes Region compare to those located on the Far West region regarding the expenditure per student?"
Q2,Suppose that you have the college in Great Lakes with an average age of entry greater or equal than 23 years old and the college in Far West with an average of entry greater or equal than 23 years old. Compare the expenditure between the two.
Q2,What is the expenditure per students from the great lakes region that has average age of entry that is greater than or equal to 23 when compared to students from the far west region that has an average age of entry greater than or equal to 23?
