Name,Continent,English-speaking?,Healthcare Rating
New York,North America,True,2
Abidjan,Africa,False,4
Abu Dhabi,Middle East,False,3
Adelaide,Oceania,False,1
Al Khobar,Middle East,False,4
Algiers,Africa,False,3
Almaty,Asia,False,2
Amman,Middle East,False,4
Amsterdam,Europe,False,1
Asuncion,South America,False,3
Athens,Europe,False,2
Atlanta,North America,True,2
Auckland,Oceania,True,2
Bahrain,Middle East,False,3
Baku,Middle East,False,2
Bandar Seri Begawan,Asia,False,3
Bangkok,Asia,False,3
Barcelona,Europe,False,1
Beijing,Asia,False,3
Belgrade,Europe,False,3
Berlin,Europe,False,1
Bogota,South America,False,3
Boston,North America,True,2
Bratislava,Europe,False,3
Brisbane,Oceania,True,1
Brussels,Europe,False,1
Bucharest,Europe,False,3
Budapest,Europe,False,2
Buenos Aires,South America,False,3
Cairo,Africa,False,4
Calgary,North America,True,1
Caracas,South America,False,5
Casablanca,Africa,False,4
Chicago,North America,True,2
Cleveland,North America,True,2
Colombo,Asia,False,4
Copenhagen,Europe,False,1
Dakar,Africa,False,5
Dalian,Europe,False,3
Damascus,Middle East,False,4
Detroit,North America,True,2
Dhaka,Asia,False,5
Doha,Middle East,False,2
Douala,Africa,False,4
Dubai,Middle East,False,2
Dublin,Europe,True,2
Dusseldorf,Europe,False,1
Frankfurt,Europe,False,1
Geneva,Europe,False,1
Guangzhou,Asia,False,3
Guatemala City,North America,False,5
Hamburg,Europe,False,1
Hanoi,Asia,False,4
Harare,Africa,False,5
Helsinki,Europe,False,1
Ho Chi Minh City,Asia,False,4
Hong Kong,Asia,False,2
Honolulu,Oceania,True,2
Houston,North America,True,2
Istanbul,Middle East,False,4
Jakarta,Asia,False,4
Jeddah,Middle East,False,3
Johannesburg,Africa,False,5
Karachi,Asia,False,4
Kathmandu,Asia,False,4
Kiev,Europe,False,3
Kuala Lumpur,Asia,False,3
Kuwait City,Middle East,False,2
Lagos,Africa,False,3
Lexington,North America,False,2
Lima,South America,False,4
Lisbon,Europe,False,2
London,Europe,True,2
Los Angeles,North America,True,2
Lusaka,Africa,False,5
Luxembourg,Europe,False,1
Lyon,Europe,False,1
Madrid,Europe,False,2
Manchester,Europe,True,2
Manila,Asia,True,3
Melbourne,Oceania,True,1
Mexico City,North America,False,4
Miami,North America,True,2
Milan,Europe,False,2
Minneapolis,North America,True,2
Montevideo,South America,False,3
Montreal,North America,False,1
Moscow,Asia,False,2
Mumbai,Asia,False,5
Munich,Europe,False,1
Muscat,Middle East,False,3
Nairobi,Africa,False,5
New Delhi,Asia,False,3
Nouma,Oceania,False,2
Osaka,Asia,False,1
Oslo,Europe,False,1
Panama City,North America,False,4
Paris,Europe,False,1
Perth,Oceania,True,1
Phnom Penh,Asia,False,5
Pittsburgh,North America,True,2
Port Moresby,Asia,False,5
Prague,Europe,False,2
Pretoria,Africa,False,5
Qingdao,Asia,False,3
Quito,South America,False,5
Reykjavik,Europe,False,1
Rio de Janeiro,South America,False,3
Riyadh,Middle East,False,3
Rome,Europe,False,2
San Francisco,North America,True,2
San Jose,North America,True,2
San Juan,North America,False,2
Santiago,South America,False,3
Sao Paulo,South America,False,3
Seattle,North America,True,2
Seoul,Asia,False,2
Shanghai,Asia,False,3
Shenzhen,Asia,False,3
Singapore,Asia,False,1
Sofia,Europe,False,3
St Petersburg,Asia,False,2
Stockholm,Europe,False,1
Suzhou,Asia,False,2
Sydney,Oceania,True,1
Taipei,Asia,False,2
Tashkent,Asia,False,3
Tehran,Middle East,False,3
Tel Aviv,Middle East,False,1
Tianjin,Asia,False,3
Tokyo,Asia,False,1
Toronto,North America,True,1
Tripoli,Africa,False,4
Tunis,Africa,False,3
Vancouver,North America,True,1
Vienna,Europe,False,1
Warsaw,Europe,False,3
Washington DC,North America,True,2
Wellington,Oceania,True,2
Zurich,Europe,False,1
